,Hex,Red,Green,Blue,Hue,Saturation,Value,Label
218,#954535,0.5843137254901961,0.27058823529411763,0.20784313725490194,0.9924038765061041,0.6442953020134228,0.5843137254901961,15
219,#DE6FA1,0.8705882352941177,0.43529411764705883,0.6313725490196078,0.9455032620941839,0.5,0.8705882352941177,1
220,#A8516E,0.6588235294117647,0.3176470588235294,0.43137254901960786,0.9698463103929542,0.5178571428571429,0.6588235294117647,39
221,#AA381E,0.6666666666666666,0.2196078431372549,0.11764705882352941,0.990813591723832,0.8235294117647058,0.6666666666666666,2
222,#856088,0.5215686274509804,0.3764705882352941,0.5333333333333333,0.7191855733945387,0.29411764705882354,0.5333333333333333,5
223,#4AFF00,0.2901960784313725,1.0,0.0,0.38752447282806746,1.0,1.0,37
224,#7B3F00,0.4823529411764706,0.24705882352941178,0.0,0.9285836503510562,1.0,0.4823529411764706,15
225,#D2691E,0.8235294117647058,0.4117647058823529,0.11764705882352941,0.953153893518325,0.8571428571428571,0.8235294117647058,28
226,#FFA700,1.0,0.6549019607843137,0.0,0.8885729807284855,1.0,1.0,41
227,#98817B,0.596078431372549,0.5058823529411764,0.4823529411764706,0.9890738003669028,0.1907894736842105,0.596078431372549,38
228,#E34234,0.8901960784313725,0.2588235294117647,0.20392156862745098,0.9980973490458728,0.7709251101321587,0.8901960784313725,88
229,#D2691E,0.8235294117647058,0.4117647058823529,0.11764705882352941,0.953153893518325,0.8571428571428571,0.8235294117647058,28
230,#CD607E,0.803921568627451,0.3764705882352941,0.49411764705882355,0.9781523779815177,0.5317073170731708,0.803921568627451,85
231,#E4D00A,0.8941176470588235,0.8156862745098039,0.0392156862745098,0.7938926261462366,0.9561403508771931,0.8941176470588237,11
232,#9FA91F,0.6196078431372549,0.6627450980392157,0.12156862745098039,0.7191855733945387,0.8165680473372782,0.6627450980392157,63
233,#7F1734,0.4980392156862745,0.09019607843137255,0.20392156862745098,0.9781523779815177,0.8188976377952756,0.4980392156862745,58
234,#FBCCE7,0.984313725490196,0.8,0.9058823529411765,0.9145187862775209,0.18725099601593617,0.984313725490196,45
